Fra;Til;Målenavn;Volum;Enhet;Kvalitet;Registreringstidspunkt
2026-04-01T00:00:00+02:00;2026-04-01T01:00:00+02:00;KWH 60 Forbruk;2,949;kWh;Målt;2026-04-02T12:47:05+02:00
2026-04-01T01:00:00+02:00;2026-04-01T02:00:00+02:00;KWH 60 Forbruk;1,200;kWh;Målt;2026-04-02T12:47:05+02:00
2026-04-01T02:00:00+02:00;2026-04-01T03:00:00+02:00;KWH 60 Forbruk;1,028;kWh;Målt;2026-04-02T12:47:05+02:00
2026-04-01T03:00:00+02:00;2026-04-01T04:00:00+02:00;KWH 60 Forbruk;1,218;kWh;Målt;2026-04-02T12:47:05+02:00
2026-04-01T04:00:00+02:00;2026-04-01T05:00:00+02:00;KWH 60 Forbruk;1,885;kWh;Målt;2026-04-02T12:47:05+02:00
2026-04-01T05:00:00+02:00;2026-04-01T06:00:00+02:00;KWH 60 Forbruk;1,445;kWh;Målt;2026-04-02T12:47:05+02:00
2026-04-01T06:00:00+02:00;2026-04-01T07:00:00+02:00;KWH 60 Forbruk;1,317;kWh;Målt;2026-04-02T12:47:05+02:00
2026-04-01T07:00:00+02:00;2026-04-01T08:00:00+02:00;KWH 60 Forbruk;1,863;kWh;Målt;2026-04-02T12:47:05+02:00
2026-04-01T08:00:00+02:00;2026-04-01T09:00:00+02:00;KWH 60 Forbruk;1,986;kWh;Målt;2026-04-02T12:47:05+02:00
2026-04-01T09:00:00+02:00;2026-04-01T10:00:00+02:00;KWH 60 Forbruk;3,163;kWh;Målt;2026-04-02T12:47:05+02:00
2026-04-01T10:00:00+02:00;2026-04-01T11:00:00+02:00;KWH 60 Forbruk;3,957;kWh;Målt;2026-04-02T12:47:05+02:00
2026-04-01T11:00:00+02:00;2026-04-01T12:00:00+02:00;KWH 60 Forbruk;1,850;kWh;Målt;2026-04-02T12:47:05+02:00
2026-04-01T12:00:00+02:00;2026-04-01T13:00:00+02:00;KWH 60 Forbruk;1,412;kWh;Målt;2026-04-02T12:47:05+02:00
2026-04-01T13:00:00+02:00;2026-04-01T14:00:00+02:00;KWH 60 Forbruk;1,880;kWh;Målt;2026-04-02T12:47:05+02:00
2026-04-01T14:00:00+02:00;2026-04-01T15:00:00+02:00;KWH 60 Forbruk;1,674;kWh;Målt;2026-04-02T12:47:05+02:00
2026-04-01T15:00:00+02:00;2026-04-01T16:00:00+02:00;KWH 60 Forbruk;1,290;kWh;Målt;2026-04-02T12:47:05+02:00
2026-04-01T16:00:00+02:00;2026-04-01T17:00:00+02:00;KWH 60 Forbruk;1,560;kWh;Målt;2026-04-02T12:47:05+02:00
2026-04-01T17:00:00+02:00;2026-04-01T18:00:00+02:00;KWH 60 Forbruk;1,994;kWh;Målt;2026-04-02T12:47:05+02:00
2026-04-01T18:00:00+02:00;2026-04-01T19:00:00+02:00;KWH 60 Forbruk;1,523;kWh;Målt;2026-04-02T12:47:05+02:00
2026-04-01T19:00:00+02:00;2026-04-01T20:00:00+02:00;KWH 60 Forbruk;1,361;kWh;Målt;2026-04-02T12:47:05+02:00
2026-04-01T20:00:00+02:00;2026-04-01T21:00:00+02:00;KWH 60 Forbruk;1,518;kWh;Målt;2026-04-02T12:47:05+02:00
2026-04-01T21:00:00+02:00;2026-04-01T22:00:00+02:00;KWH 60 Forbruk;2,064;kWh;Målt;2026-04-02T12:47:05+02:00
2026-04-01T22:00:00+02:00;2026-04-01T23:00:00+02:00;KWH 60 Forbruk;1,504;kWh;Målt;2026-04-02T12:47:05+02:00
2026-04-01T23:00:00+02:00;2026-04-02T00:00:00+02:00;KWH 60 Forbruk;1,364;kWh;Målt;2026-04-02T12:47:05+02:00
2026-04-02T00:00:00+02:00;2026-04-02T01:00:00+02:00;KWH 60 Forbruk;1,611;kWh;Målt;2026-04-03T12:49:03+02:00
2026-04-02T01:00:00+02:00;2026-04-02T02:00:00+02:00;KWH 60 Forbruk;1,958;kWh;Målt;2026-04-03T12:49:03+02:00
2026-04-02T02:00:00+02:00;2026-04-02T03:00:00+02:00;KWH 60 Forbruk;1,673;kWh;Målt;2026-04-03T12:49:03+02:00
2026-04-02T03:00:00+02:00;2026-04-02T04:00:00+02:00;KWH 60 Forbruk;1,470;kWh;Målt;2026-04-03T12:49:03+02:00
2026-04-02T04:00:00+02:00;2026-04-02T05:00:00+02:00;KWH 60 Forbruk;1,519;kWh;Målt;2026-04-03T12:49:03+02:00
2026-04-02T05:00:00+02:00;2026-04-02T06:00:00+02:00;KWH 60 Forbruk;2,165;kWh;Målt;2026-04-03T12:49:03+02:00
2026-04-02T06:00:00+02:00;2026-04-02T07:00:00+02:00;KWH 60 Forbruk;1,815;kWh;Målt;2026-04-03T12:49:03+02:00
2026-04-02T07:00:00+02:00;2026-04-02T08:00:00+02:00;KWH 60 Forbruk;1,743;kWh;Målt;2026-04-03T12:49:03+02:00
2026-04-02T08:00:00+02:00;2026-04-02T09:00:00+02:00;KWH 60 Forbruk;2,207;kWh;Målt;2026-04-03T12:49:03+02:00
2026-04-02T09:00:00+02:00;2026-04-02T10:00:00+02:00;KWH 60 Forbruk;1,960;kWh;Målt;2026-04-03T12:49:03+02:00
2026-04-02T10:00:00+02:00;2026-04-02T11:00:00+02:00;KWH 60 Forbruk;1,913;kWh;Målt;2026-04-03T12:49:03+02:00
