Fra;Til;Målenavn;Volum;Enhet;Kvalitet;Registreringstidspunkt
2025-12-01T00:00:00+01:00;2025-12-01T01:00:00+01:00;KWH 60 Forbruk;1,285;kWh;Målt;2025-12-02T06:24:20+01:00
2025-12-01T01:00:00+01:00;2025-12-01T02:00:00+01:00;KWH 60 Forbruk;1,818;kWh;Målt;2025-12-02T06:24:20+01:00
2025-12-01T02:00:00+01:00;2025-12-01T03:00:00+01:00;KWH 60 Forbruk;1,702;kWh;Målt;2025-12-02T06:24:20+01:00
2025-12-01T03:00:00+01:00;2025-12-01T04:00:00+01:00;KWH 60 Forbruk;1,335;kWh;Målt;2025-12-02T06:24:20+01:00
2025-12-01T04:00:00+01:00;2025-12-01T05:00:00+01:00;KWH 60 Forbruk;1,528;kWh;Målt;2025-12-02T06:24:20+01:00
2025-12-01T05:00:00+01:00;2025-12-01T06:00:00+01:00;KWH 60 Forbruk;2,041;kWh;Målt;2025-12-02T06:24:20+01:00
2025-12-01T06:00:00+01:00;2025-12-01T07:00:00+01:00;KWH 60 Forbruk;1,522;kWh;Målt;2025-12-02T06:24:20+01:00
2025-12-01T07:00:00+01:00;2025-12-01T08:00:00+01:00;KWH 60 Forbruk;1,505;kWh;Målt;2025-12-02T06:24:20+01:00
2025-12-01T08:00:00+01:00;2025-12-01T09:00:00+01:00;KWH 60 Forbruk;3,434;kWh;Målt;2025-12-02T06:24:20+01:00
2025-12-01T09:00:00+01:00;2025-12-01T10:00:00+01:00;KWH 60 Forbruk;3,316;kWh;Målt;2025-12-02T06:24:20+01:00
2025-12-01T10:00:00+01:00;2025-12-01T11:00:00+01:00;KWH 60 Forbruk;1,273;kWh;Målt;2025-12-02T06:24:20+01:00
2025-12-01T11:00:00+01:00;2025-12-01T12:00:00+01:00;KWH 60 Forbruk;2,107;kWh;Målt;2025-12-02T06:24:20+01:00
2025-12-01T12:00:00+01:00;2025-12-01T13:00:00+01:00;KWH 60 Forbruk;2,603;kWh;Målt;2025-12-02T06:24:20+01:00
2025-12-01T13:00:00+01:00;2025-12-01T14:00:00+01:00;KWH 60 Forbruk;1,863;kWh;Målt;2025-12-02T06:24:20+01:00
2025-12-01T14:00:00+01:00;2025-12-01T15:00:00+01:00;KWH 60 Forbruk;1,658;kWh;Målt;2025-12-02T06:24:20+01:00
2025-12-01T15:00:00+01:00;2025-12-01T16:00:00+01:00;KWH 60 Forbruk;1,665;kWh;Målt;2025-12-02T06:24:20+01:00
2025-12-01T16:00:00+01:00;2025-12-01T17:00:00+01:00;KWH 60 Forbruk;2,720;kWh;Målt;2025-12-02T06:24:20+01:00
