Fra;Til;Målenavn;Volum;Enhet;Kvalitet;Registreringstidspunkt
2026-02-01T00:00:00+01:00;2026-02-01T01:00:00+01:00;KWH 60 Forbruk;2,374;kWh;Målt;2026-02-02T06:39:56+01:00
2026-02-01T01:00:00+01:00;2026-02-01T02:00:00+01:00;KWH 60 Forbruk;2,141;kWh;Målt;2026-02-02T06:39:56+01:00
2026-02-01T02:00:00+01:00;2026-02-01T03:00:00+01:00;KWH 60 Forbruk;2,379;kWh;Målt;2026-02-02T06:39:56+01:00
2026-02-01T03:00:00+01:00;2026-02-01T04:00:00+01:00;KWH 60 Forbruk;2,707;kWh;Målt;2026-02-02T06:39:56+01:00
2026-02-01T04:00:00+01:00;2026-02-01T05:00:00+01:00;KWH 60 Forbruk;2,403;kWh;Målt;2026-02-02T06:39:56+01:00
2026-02-01T05:00:00+01:00;2026-02-01T06:00:00+01:00;KWH 60 Forbruk;2,155;kWh;Målt;2026-02-02T06:39:56+01:00
2026-02-01T06:00:00+01:00;2026-02-01T07:00:00+01:00;KWH 60 Forbruk;2,502;kWh;Målt;2026-02-02T06:39:56+01:00
2026-02-01T07:00:00+01:00;2026-02-01T08:00:00+01:00;KWH 60 Forbruk;3,949;kWh;Målt;2026-02-02T06:39:56+01:00
2026-02-01T08:00:00+01:00;2026-02-01T09:00:00+01:00;KWH 60 Forbruk;2,595;kWh;Målt;2026-02-02T06:39:56+01:00
2026-02-01T09:00:00+01:00;2026-02-01T10:00:00+01:00;KWH 60 Forbruk;4,085;kWh;Målt;2026-02-02T06:39:56+01:00
2026-02-01T10:00:00+01:00;2026-02-01T11:00:00+01:00;KWH 60 Forbruk;4,475;kWh;Målt;2026-02-02T06:39:56+01:00
2026-02-01T11:00:00+01:00;2026-02-01T12:00:00+01:00;KWH 60 Forbruk;4,227;kWh;Målt;2026-02-02T06:39:56+01:00
2026-02-01T12:00:00+01:00;2026-02-01T13:00:00+01:00;KWH 60 Forbruk;4,369;kWh;Målt;2026-02-02T06:39:56+01:00
2026-02-01T13:00:00+01:00;2026-02-01T14:00:00+01:00;KWH 60 Forbruk;2,883;kWh;Målt;2026-02-02T06:39:56+01:00
2026-02-01T14:00:00+01:00;2026-02-01T15:00:00+01:00;KWH 60 Forbruk;2,152;kWh;Målt;2026-02-02T06:39:56+01:00
2026-02-01T15:00:00+01:00;2026-02-01T16:00:00+01:00;KWH 60 Forbruk;2,249;kWh;Målt;2026-02-02T06:39:56+01:00
2026-02-01T16:00:00+01:00;2026-02-01T17:00:00+01:00;KWH 60 Forbruk;3,476;kWh;Målt;2026-02-02T06:39:56+01:00
2026-02-01T17:00:00+01:00;2026-02-01T18:00:00+01:00;KWH 60 Forbruk;2,477;kWh;Målt;2026-02-02T06:39:56+01:00
2026-02-01T18:00:00+01:00;2026-02-01T19:00:00+01:00;KWH 60 Forbruk;4,977;kWh;Målt;2026-02-02T06:39:56+01:00
2026-02-01T19:00:00+01:00;2026-02-01T20:00:00+01:00;KWH 60 Forbruk;4,209;kWh;Målt;2026-02-02T06:39:56+01:00
2026-02-01T20:00:00+01:00;2026-02-01T21:00:00+01:00;KWH 60 Forbruk;1,066;kWh;Målt;2026-02-02T06:39:56+01:00
2026-02-01T21:00:00+01:00;2026-02-01T22:00:00+01:00;KWH 60 Forbruk;1,657;kWh;Målt;2026-02-02T06:39:56+01:00
2026-02-01T22:00:00+01:00;2026-02-01T23:00:00+01:00;KWH 60 Forbruk;2,133;kWh;Målt;2026-02-02T06:39:56+01:00
2026-02-01T23:00:00+01:00;2026-02-02T00:00:00+01:00;KWH 60 Forbruk;2,164;kWh;Målt;2026-02-02T06:39:56+01:00
2026-02-02T00:00:00+01:00;2026-02-02T01:00:00+01:00;KWH 60 Forbruk;1,533;kWh;Målt;2026-02-03T06:21:28+01:00
2026-02-02T01:00:00+01:00;2026-02-02T02:00:00+01:00;KWH 60 Forbruk;1,549;kWh;Målt;2026-02-03T06:21:28+01:00
2026-02-02T02:00:00+01:00;2026-02-02T03:00:00+01:00;KWH 60 Forbruk;3,032;kWh;Målt;2026-02-03T06:21:28+01:00
2026-02-02T03:00:00+01:00;2026-02-02T04:00:00+01:00;KWH 60 Forbruk;2,169;kWh;Målt;2026-02-03T06:21:28+01:00
2026-02-02T04:00:00+01:00;2026-02-02T05:00:00+01:00;KWH 60 Forbruk;2,261;kWh;Målt;2026-02-03T06:21:28+01:00
2026-02-02T05:00:00+01:00;2026-02-02T06:00:00+01:00;KWH 60 Forbruk;2,513;kWh;Målt;2026-02-03T06:21:28+01:00
2026-02-02T06:00:00+01:00;2026-02-02T07:00:00+01:00;KWH 60 Forbruk;2,616;kWh;Målt;2026-02-03T06:21:28+01:00
2026-02-02T07:00:00+01:00;2026-02-02T08:00:00+01:00;KWH 60 Forbruk;3,796;kWh;Målt;2026-02-03T06:21:28+01:00
2026-02-02T08:00:00+01:00;2026-02-02T09:00:00+01:00;KWH 60 Forbruk;5,062;kWh;Målt;2026-02-03T06:21:28+01:00
2026-02-02T09:00:00+01:00;2026-02-02T10:00:00+01:00;KWH 60 Forbruk;5,408;kWh;Målt;2026-02-03T06:21:28+01:00
2026-02-02T10:00:00+01:00;2026-02-02T11:00:00+01:00;KWH 60 Forbruk;3,847;kWh;Målt;2026-02-03T06:21:28+01:00
2026-02-02T11:00:00+01:00;2026-02-02T12:00:00+01:00;KWH 60 Forbruk;4,808;kWh;Målt;2026-02-03T06:21:28+01:00
2026-02-02T12:00:00+01:00;2026-02-02T13:00:00+01:00;KWH 60 Forbruk;3,548;kWh;Målt;2026-02-03T06:21:28+01:00
2026-02-02T13:00:00+01:00;2026-02-02T14:00:00+01:00;KWH 60 Forbruk;3,015;kWh;Målt;2026-02-03T06:21:28+01:00
2026-02-02T14:00:00+01:00;2026-02-02T15:00:00+01:00;KWH 60 Forbruk;3,392;kWh;Målt;2026-02-03T06:21:28+01:00
2026-02-02T15:00:00+01:00;2026-02-02T16:00:00+01:00;KWH 60 Forbruk;3,116;kWh;Målt;2026-02-03T06:21:28+01:00
2026-02-02T16:00:00+01:00;2026-02-02T17:00:00+01:00;KWH 60 Forbruk;2,936;kWh;Målt;2026-02-03T06:21:28+01:00
2026-02-02T17:00:00+01:00;2026-02-02T18:00:00+01:00;KWH 60 Forbruk;2,966;kWh;Målt;2026-02-03T06:21:28+01:00
2026-02-02T18:00:00+01:00;2026-02-02T19:00:00+01:00;KWH 60 Forbruk;2,527;kWh;Målt;2026-02-03T06:21:28+01:00
2026-02-02T19:00:00+01:00;2026-02-02T20:00:00+01:00;KWH 60 Forbruk;3,025;kWh;Målt;2026-02-03T06:21:28+01:00
2026-02-02T20:00:00+01:00;2026-02-02T21:00:00+01:00;KWH 60 Forbruk;2,007;kWh;Målt;2026-02-03T06:21:28+01:00
2026-02-02T21:00:00+01:00;2026-02-02T22:00:00+01:00;KWH 60 Forbruk;1,217;kWh;Målt;2026-02-03T06:21:28+01:00
